Country,Year,Deaths,GDP_per_Capita,Democracy score
United Kingdom,2021,46867751,46869.759058411,8.1
United Kingdom,2022,3331595,45564.1569448013,8.28
Uruguay,2020,12265,15651.0033775375,8.61
Uruguay,2021,1470792,17733.8551643902,8.85
Uruguay,2022,136757,20499.2422244452,8.91
Uzbekistan,2020,75614,1759.30747053678,2.12
Uzbekistan,2021,332793,1993.42447787206,2.12
Uzbekistan,2022,33099,2276.16123306477,2.12
Zambia,2020,53042,958.264900505992,4.86
Zambia,2021,849928,1134.71345415843,5.719999999999999
Zambia,2022,84084,1456.90157026157,5.8
Zimbabwe,2020,36683,1372.69667433317,3.16
Zimbabwe,2021,1029500,1773.92041088078,2.92
Zimbabwe,2022,113949,1676.82148896788,2.92
